NOME_URNA_CANDIDATO,CENTIL,GRUPO,PERFIL
PASTOR MARCO FELICIANO,0.0428248096522,2,Midiático
TIRIRICA,0.0602185689165,2,Midiático
CELSO RUSSOMANNO,0.0644210918542,2,Midiático
EDUARDO BOLSONARO,0.0671458454952,2,Midiático
GILBERTO NASCIMENTO,0.0731315184432,2,Midiático
ROBERTO ALVES,0.0740905329615,2,Midiático
JORGE TADEU,0.0743521040885,2,Midiático
PAULO MALUF,0.0831775178189,2,Midiático
SERGIO REIS,0.0917493933377,2,Midiático
ARLINDO CHINAGLIA,0.0960728279763,2,Midiático
ORLANDO SILVA,0.0974172835692,2,Midiático
PAULINHO DA FORÇA,0.0981266451278,2,Midiático
FLAVINHO,0.0990523790042,2,Midiático
MAJOR OLIMPIO GOMES,0.101687537668,2,Midiático
BRUNO COVAS,0.102166664777,2,Midiático
ANDRES SANCHEZ,0.103995666357,2,Midiático
ELI CORRÊA FILHO,0.10739685995,2,Midiático
PAULO FREIRE,0.108283917341,2,Midiático
IVAN VALENTE,0.110887478689,2,Midiático
JEFFERSON CAMPOS,0.112034118302,2,Midiático
MISSIONÁRIO JOSÉ OLÍMPIO,0.120804414057,2,Midiático
ROBERTO DE LUCENA,0.121370421634,2,Midiático
ANTONIO BULHÕES,0.12528726466,2,Midiático
RICARDO IZAR,0.130263239011,2,Midiático
PAULO TEIXEIRA,0.138965507947,2,Midiático
LUIZA ERUNDINA,0.140800658848,2,Midiático
VINICIUS CARVALHO,0.147229145741,2,Midiático
ZARATTINI,0.148019322274,2,Midiático
RICARDO TRIPOLI,0.152215939711,2,Midiático
RENATA ABREU,0.168142001454,2,Midiático
RODRIGO GARCIA,0.175897141463,2,Midiático
JOSÉ MENTOR,0.18911470474,2,Midiático
ARNALDO JARDIM,0.202237277657,2,Midiático
OTA,0.213542728941,2,Midiático
ARNALDO FARIA DE SÁ,0.22725340889,2,Midiático
DUARTE NOGUEIRA,0.235645598718,2,Midiático
VICENTE CÂNDIDO,0.242069833067,2,Midiático
BALEIA ROSSI,0.242623060974,2,Midiático
NELSON MARQUEZELLI,0.250383724747,2,Midiático
EVANDRO GUSSI,0.251161135495,2,Midiático
MARA GABRILLI,0.264356110169,2,Midiático
NILTO TATTO,0.267382109965,2,Midiático
FLORIANO PESARO,0.285829625534,2,Midiático
CARLOS SAMPAIO,0.297419348292,2,Midiático
SAMUEL MOREIRA,0.304542053607,2,Midiático
SILVIO TORRES,0.30925788603,2,Midiático
MARCIO ALVINO,0.340583495415,1,Regional
LUIZ LAURO FILHO,0.345558543236,1,Regional
ALEXANDRE LEITE,0.348479600394,1,Regional
VICENTINHO,0.367816091954,1,Regional
VALMIR PRASCIDELLI,0.371823878511,1,Regional
BETO MANSUR,0.421360339925,1,Regional
MILTON MONTI,0.424246606062,1,Regional
BRUNA FURLAN,0.440673885536,1,Regional
HERCULANO PASSOS,0.446734281672,1,Regional
VANDERLEI MACRIS,0.45669556548,1,Regional
ALEX MANENTE,0.473130614227,1,Regional
VITOR LIPPI,0.474876953557,1,Regional
GUILHERME MUSSI,0.483604931637,1,Regional
CAPITÃO AUGUSTO,0.527342500799,1,Regional
ANA PERUGINI,0.56039151552,1,Regional
EDINHO ARAUJO,0.567503103387,1,Regional
MIGUEL HADDAD,0.649151998479,1,Regional
GOULART,0.658872344564,1,Regional
PAPA,0.667794880517,1,Regional
DR SINVAL MALHEIROS,0.738570129039,3,Bandeira
FAUSTO PINATO,0.744580712314,3,Bandeira
EDUARDO CURY,0.776893739428,3,Bandeira
MARCELO SQUASONI,0.847534223982,3,Bandeira
MIGUEL LOMBARDI,0.963528678304,3,Bandeira
