SIGLA_PARTIDO,MATIZ_IDEOLOGICA
AVANTE,DIREITA
DEM,DIREITA
NOVO,DIREITA
PATRIOTA,DIREITA
PC do B,ESQUERDA
PCB,ESQUERDA
PCO,ESQUERDA
PDT,ESQUERDA
PHS,DIREITA
PMB,ESQUERDA
PMDB,DIREITA
PMN,DIREITA
PODE,DIREITA
PP,DIREITA
PPL,ESQUERDA
PPS,ESQUERDA
PR,DIREITA
PRB,DIREITA
PROS,DIREITA
PRP,DIREITA
PRTB,DIREITA
PSB,ESQUERDA
PSC,DIREITA
PSD,DIREITA
PSDB,DIREITA
PSDC,DIREITA
PSL,DIREITA
PSOL,ESQUERDA
PSTU,ESQUERDA
PT,ESQUERDA
PTB,DIREITA
PTC,DIREITA
PV,ESQUERDA
REDE,ESQUERDA
SD,DIREITA
PTN,DIREITA
PEN,DIREITA
PT do B,DIREITA
