SIGLA_UF,TOTAL_VOTOS,QUOCIENTE_ELEITORAL
SC,3398998.0,212437
RO,798475.0,99809
PI,1736237.0,173623
AM,1660482.0,207560
RR,246869.0,30858
GO,3037991.0,178705
TO,733636.0,91704
MT,1464534.0,183066
SP,21415023.0,305928
ES,1855931.0,185593
PB,1939299.0,161608
RS,5945131.0,191778
MS,1277661.0,159707
AL,1384607.0,153845
MG,10173978.0,191961
PA,3759159.0,221127
BA,6717971.0,172255
SE,1052841.0,131605
PE,4489539.0,179581
CE,4369572.0,198616
RN,1582853.0,197856
RJ,7800135.0,169568
MA,3143899.0,174661
AC,399201.0,49900
DF,1456317.0,182039
PR,5705366.0,190178
AP,386899.0,48362
